decision_id,slot_id,action,tile_id,program,request_id,reason
D000001,N20260907-S001,observe,T00057,BRIGHT,,highest public current-snapshot estimate
D000002,N20260907-S001,observe,T00050,DARK,,highest public current-snapshot estimate
D000003,N20260907-S002,observe,T00058,BRIGHT,,highest public current-snapshot estimate
D000004,N20260907-S003,observe,T00049,DARK,,highest public current-snapshot estimate
D000005,N20260907-S004,observe,T00053,DARK,,highest public current-snapshot estimate
D000006,N20260907-S005,observe,T00062,DARK,RQ0001,highest public current-snapshot estimate
D000007,N20260907-S006,observe,T00045,BRIGHT,,highest public current-snapshot estimate
D000008,N20260907-S006,observe,T00059,DARK,,highest public current-snapshot estimate
D000009,N20260907-S007,observe,T00046,BRIGHT,,highest public current-snapshot estimate
D000010,N20260907-S008,observe,T00060,BRIGHT,,highest public current-snapshot estimate
D000011,N20260907-S008,observe,T00064,DARK,,highest public current-snapshot estimate
D000012,N20260907-S009,observe,T00052,DARK,,highest public current-snapshot estimate
D000013,N20260907-S011,observe,T00048,BRIGHT,,highest public current-snapshot estimate
D000014,N20260907-S012,observe,T00002,BRIGHT,,highest public current-snapshot estimate
D000015,N20260907-S012,observe,T00004,BRIGHT,,highest public current-snapshot estimate
D000016,N20260907-S013,observe,T00007,BRIGHT,,highest public current-snapshot estimate
D000017,N20260907-S013,observe,T00055,DARK,,highest public current-snapshot estimate
D000018,N20260907-S015,observe,T00010,BRIGHT,,highest public current-snapshot estimate
D000019,N20260907-S016,observe,T00008,DARK,,highest public current-snapshot estimate
D000020,N20260907-S018,observe,T00006,DARK,,highest public current-snapshot estimate
D000021,N20260907-S019,observe,T00061,DARK,,highest public current-snapshot estimate
D000022,N20260907-S021,observe,T00054,BRIGHT,,highest public current-snapshot estimate
D000023,N20260907-S022,observe,T00063,DARK,,highest public current-snapshot estimate
D000024,N20260907-S023,observe,T00011,BRIGHT,,highest public current-snapshot estimate
D000025,N20260907-S024,observe,T00012,BRIGHT,,highest public current-snapshot estimate
