target_id,tile_id,target_class,feature_flux,redshift,science_weight
TG00000001,T00001,LRG,0.42294598,0.819411,1.0000
TG00000002,T00001,LRG,0.42472856,0.681580,1.0000
TG00000003,T00001,LRG,0.47508774,0.580638,1.0000
TG00000004,T00001,LRG,0.41016755,0.821681,1.0000
TG00000005,T00001,LRG,0.28905280,0.599692,1.0000
TG00000006,T00001,LRG,0.20198559,0.973180,1.0000
TG00000007,T00001,LRG,0.38232660,0.614779,1.0000
TG00000008,T00001,LRG,0.22973090,0.666809,1.0000
TG00000009,T00001,LRG,0.24923583,1.073102,1.0000
TG00000010,T00001,LRG,0.22419586,0.476090,1.0000
TG00000011,T00001,LRG,0.24460328,0.902717,1.0000
TG00000012,T00001,LRG,0.24810890,0.677439,1.0000
TG00000013,T00001,LRG,0.32040039,0.873225,1.0000
TG00000014,T00001,LRG,0.33704486,0.324895,1.0000
TG00000015,T00001,LRG,0.46850005,0.748241,1.0000
TG00000016,T00001,LRG,0.65574356,0.378444,1.0000
TG00000017,T00001,LRG,0.50181836,0.784975,1.0000
TG00000018,T00001,LRG,0.33847629,0.382958,1.0000
TG00000019,T00001,LRG,0.55918129,0.764126,1.0000
TG00000020,T00001,LRG,0.38396503,0.347636,1.0000
TG00000021,T00001,LRG,0.36282882,0.661320,1.0000
TG00000022,T00001,LRG,0.60954494,0.633451,1.0000
TG00000023,T00001,LRG,0.28579099,0.689201,1.0000
TG00000024,T00001,LRG,0.38327640,0.464444,1.0000
TG00000025,T00001,LRG,0.50242003,0.485325,1.0000
TG00000026,T00001,LRG,0.28849757,0.882098,1.0000
TG00000027,T00001,LRG,0.32215273,0.809882,1.0000
TG00000028,T00001,LRG,0.24076230,0.651687,1.0000
TG00000029,T00001,LRG,0.53327067,0.606847,1.0000
TG00000030,T00001,LRG,0.32688024,0.843876,1.0000
TG00000031,T00001,LRG,0.31699771,0.461146,1.0000
TG00000032,T00001,LRG,0.31568929,0.395425,1.0000
TG00000033,T00001,LRG,0.52287262,0.687238,1.0000
TG00000034,T00001,LRG,0.25450032,0.660672,1.0000
TG00000035,T00001,LRG,0.18954493,1.011878,1.0000
TG00000036,T00001,LRG,0.57459231,0.732364,1.0000
TG00000037,T00001,LRG,0.36074172,0.811925,1.0000
TG00000038,T00001,LRG,0.21338754,0.340922,1.0000
TG00000039,T00001,LRG,0.21506163,0.736337,1.0000
TG00000040,T00001,LRG,0.41068923,1.032824,1.0000
TG00000041,T00001,LRG,0.16861370,0.641723,1.0000
TG00000042,T00001,LRG,0.38293986,0.723871,1.0000
TG00000043,T00001,LRG,0.52501870,0.870505,1.0000
TG00000044,T00001,LRG,0.47550214,0.992710,1.0000
TG00000045,T00001,LRG,0.37328357,0.344588,1.0000
TG00000046,T00001,LRG,0.50214621,0.677838,1.0000
TG00000047,T00001,LRG,0.18208404,0.523035,1.0000
TG00000048,T00001,LRG,0.24775838,0.778158,1.0000
TG00000049,T00001,LRG,0.65746155,0.676989,1.0000
TG00000050,T00001,LRG,0.60177405,0.689696,1.0000
TG00000051,T00001,LRG,0.29546787,0.755973,1.0000
TG00000052,T00001,LRG,0.33977571,0.664334,1.0000
TG00000053,T00001,LRG,0.33240996,1.019182,1.0000
TG00000054,T00001,LRG,0.30037381,0.804029,1.0000
TG00000055,T00001,LRG,0.26552063,0.586176,1.0000
TG00000056,T00001,LRG,0.39130280,0.707579,1.0000
TG00000057,T00001,LRG,0.20440085,0.991493,1.0000
TG00000058,T00001,LRG,0.22193037,0.768861,1.0000
TG00000059,T00001,LRG,0.32372021,0.875654,1.0000
TG00000060,T00001,LRG,0.58659260,0.745774,1.0000
TG00000061,T00001,LRG,0.41813525,0.801715,1.0000
TG00000062,T00001,LRG,0.53054386,0.683637,1.0000
TG00000063,T00001,LRG,0.26378008,0.842036,1.0000
TG00000064,T00001,LRG,0.26678056,0.766865,1.0000
TG00000065,T00001,LRG,0.86570445,1.086839,1.0000
TG00000066,T00001,LRG,0.45241691,0.609090,1.0000
TG00000067,T00001,LRG,0.27490138,0.663876,1.0000
TG00000068,T00001,LRG,0.24791587,0.352930,1.0000
TG00000069,T00001,LRG,0.31250855,0.939994,1.0000
TG00000070,T00001,LRG,0.41710420,0.388130,1.0000
TG00000071,T00001,LRG,0.23678735,0.811041,1.0000
TG00000072,T00001,LRG,0.40661625,0.492049,1.0000
TG00000073,T00001,LRG,0.17221147,0.414382,1.0000
TG00000074,T00001,LRG,0.40507241,0.763181,1.0000
TG00000075,T00001,LRG,0.21417174,0.652556,1.0000
TG00000076,T00001,LRG,0.51510317,0.627675,1.0000
TG00000077,T00001,LRG,0.45583091,0.732154,1.0000
TG00000078,T00001,LRG,0.39926443,0.759789,1.0000
TG00000079,T00001,LRG,0.38839144,0.617193,1.0000
TG00000080,T00001,LRG,0.22791745,0.777771,1.0000
TG00000081,T00001,LRG,0.39765878,0.614601,1.0000
TG00000082,T00001,ELG,0.92284730,1.032562,1.0000
TG00000083,T00001,ELG,0.45193970,1.557976,1.0000
TG00000084,T00001,ELG,0.42684352,1.738710,1.0000
TG00000085,T00001,ELG,0.84744474,1.462980,1.0000
TG00000086,T00001,ELG,0.77222959,1.493969,1.0000
TG00000087,T00001,ELG,0.53895434,1.051312,1.0000
TG00000088,T00001,ELG,0.40532314,1.631728,1.0000
TG00000089,T00001,ELG,0.98275839,1.721980,1.0000
TG00000090,T00001,ELG,0.85293742,1.148797,1.0000
TG00000091,T00001,ELG,0.86138311,1.053163,1.0000
TG00000092,T00001,ELG,0.56768146,0.804798,1.0000
TG00000093,T00001,ELG,0.45961177,1.256953,1.0000
TG00000094,T00001,ELG,0.77655134,1.158560,1.0000
TG00000095,T00001,ELG,0.64928945,1.121849,1.0000
TG00000096,T00001,ELG,0.39689567,1.277826,1.0000
TG00000097,T00001,ELG,0.45035752,0.717176,1.0000
