tile_id,ra_deg,dec_deg,nominal_exptime_seconds,region_id,scheduling_class,available_from_utc,available_until_utc,n_lrg,n_elg,n_qso,n_bgs
T00001,13.260642,11.960476,600,R00,REQUIRED,2026-10-06T02:00:00Z,2026-10-11T12:30:00Z,81,92,17,72
T00002,5.727350,25.552005,450,R00,REQUIRED,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,70,102,25,89
T00003,6.426216,11.429167,900,R00,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,45,99,11,75
T00004,32.319692,20.614713,1200,R00,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,65,99,18,47
T00005,26.088433,49.778290,600,R00,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,60,67,21,77
T00006,38.428131,52.900917,900,R00,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,61,141,19,80
T00007,18.603716,11.794275,900,R00,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,58,88,6,78
T00008,14.061740,-1.962626,600,R00,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,57,74,6,74
T00009,86.521640,3.914564,900,R01,REQUIRED,2026-10-07T02:00:00Z,2026-10-12T12:30:00Z,58,90,21,91
T00010,59.666447,31.710436,1350,R01,REQUIRED,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,58,51,14,72
T00011,76.267701,24.118789,450,R01,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,48,94,29,84
T00012,78.033783,4.795512,1200,R01,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,56,100,15,74
T00013,72.660391,19.485204,1350,R01,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,50,59,28,79
T00014,60.132618,9.049180,450,R01,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,58,147,18,61
T00015,87.151517,-3.785954,450,R01,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,56,117,17,46
T00016,64.665784,-1.828796,1200,R01,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,47,95,17,73
T00017,130.428225,54.378077,600,R02,REQUIRED,2026-10-07T02:00:00Z,2026-10-12T12:30:00Z,49,74,19,81
T00018,116.167243,24.017016,1350,R02,REQUIRED,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,64,86,13,62
T00019,131.801085,5.162940,450,R02,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,53,85,22,96
T00020,125.236605,56.780083,1350,R02,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,59,102,10,74
T00021,104.407140,29.297485,900,R02,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,91,76,24,45
T00022,102.843268,12.090703,450,R02,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,59,108,19,109
T00023,92.864814,10.819618,900,R02,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,33,101,14,98
T00024,92.381250,5.079819,900,R02,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,44,110,19,65
T00025,138.476356,39.307823,600,R03,REQUIRED,2026-10-07T02:00:00Z,2026-10-12T12:30:00Z,83,132,19,89
T00026,176.415063,6.920536,900,R03,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,56,112,9,89
T00027,149.289589,34.640776,1350,R03,REQUIRED,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,60,72,25,81
T00028,163.738573,14.292305,1350,R03,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,48,109,24,81
T00029,160.477117,31.717954,1350,R03,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,59,64,14,81
T00030,141.358743,52.057675,1200,R03,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,62,89,13,84
T00031,142.762353,11.627208,900,R03,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,54,95,14,68
T00032,161.500351,6.325067,1350,R03,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,53,75,12,82
T00033,205.689036,31.925613,1200,R04,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,64,115,20,80
T00034,210.949061,58.790889,450,R04,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,61,105,11,94
T00035,210.384780,50.059167,900,R04,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,49,124,20,81
