window_id,night_id,night_date,tile_id,window_start_utc,window_end_utc,window_seconds,best_time_utc,best_airmass,mean_airmass,mean_lunar_quality_factor,minimum_lunar_quality_factor,region_id,scheduling_class,nominal_exptime_seconds,available_until_utc
2026-10-05_T00001_W01,N20261005,2026-10-05,T00001,2026-10-06T03:15:00Z,2026-10-06T11:30:00Z,29700,2026-10-06T07:22:30Z,1.064104,1.312689,0.999757,0.99832,R00,REQUIRED,600,2026-10-11T12:30:00Z
2026-10-05_T00002_W01,N20261005,2026-10-05,T00002,2026-10-06T02:15:00Z,2026-10-06T11:30:00Z,33300,2026-10-06T06:52:30Z,1.006323,1.269535,0.999772,0.998233,R00,REQUIRED,450,2026-10-12T12:30:00Z
2026-10-05_T00003_W01,N20261005,2026-10-05,T00003,2026-10-06T02:45:00Z,2026-10-06T11:00:00Z,29700,2026-10-06T06:52:30Z,1.067669,1.318931,0.999877,0.998902,R00,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-05_T00004_W01,N20261005,2026-10-05,T00004,2026-10-06T04:15:00Z,2026-10-06T12:30:00Z,29700,2026-10-06T08:37:30Z,1.019897,1.233404,0.999115,0.995852,R00,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-05_T00005_W01,N20261005,2026-10-05,T00005,2026-10-06T02:45:00Z,2026-10-06T12:30:00Z,35100,2026-10-06T08:07:30Z,1.050283,1.270475,0.999037,0.994652,R00,FLEXIBLE,600,2026-10-12T12:30:00Z
2026-10-05_T00006_W01,N20261005,2026-10-05,T00006,2026-10-06T03:30:00Z,2026-10-06T12:30:00Z,32400,2026-10-06T08:52:30Z,1.070823,1.269467,0.998678,0.993226,R00,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-05_T00007_W01,N20261005,2026-10-05,T00007,2026-10-06T03:30:00Z,2026-10-06T11:45:00Z,29700,2026-10-06T07:37:30Z,1.065255,1.314761,0.999659,0.997884,R00,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-05_T00008_W01,N20261005,2026-10-05,T00008,2026-10-06T04:00:00Z,2026-10-06T10:45:00Z,24300,2026-10-06T07:22:30Z,1.204664,1.407149,0.999886,0.999032,R00,FLEXIBLE,600,2026-10-12T12:30:00Z
2026-10-05_T00010_W01,N20261005,2026-10-05,T00010,2026-10-06T05:30:00Z,2026-10-06T12:30:00Z,25200,2026-10-06T10:22:30Z,1.00004,1.207812,0.997768,0.991125,R01,REQUIRED,1350,2026-10-12T12:30:00Z
2026-10-05_T00011_W01,N20261005,2026-10-05,T00011,2026-10-06T07:00:00Z,2026-10-06T12:30:00Z,19800,2026-10-06T11:37:30Z,1.009729,1.218044,0.995822,0.986948,R01,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-05_T00012_W01,N20261005,2026-10-05,T00012,2026-10-06T07:45:00Z,2026-10-06T12:30:00Z,17100,2026-10-06T11:37:30Z,1.123708,1.327353,0.995396,0.987557,R01,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-05_T00013_W01,N20261005,2026-10-05,T00013,2026-10-06T07:00:00Z,2026-10-06T12:30:00Z,19800,2026-10-06T11:22:30Z,1.024397,1.210874,0.996265,0.988329,R01,FLEXIBLE,1350,2026-10-12T12:30:00Z
2026-10-05_T00014_W01,N20261005,2026-10-05,T00014,2026-10-06T06:30:00Z,2026-10-06T12:30:00Z,21600,2026-10-06T10:22:30Z,1.085607,1.256516,0.997706,0.992177,R01,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-05_T00015_W01,N20261005,2026-10-05,T00015,2026-10-06T08:45:00Z,2026-10-06T12:30:00Z,13500,2026-10-06T12:07:30Z,1.232151,1.447291,0.993035,0.985114,R01,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-05_T00016_W01,N20261005,2026-10-05,T00016,2026-10-06T07:15:00Z,2026-10-06T12:30:00Z,18900,2026-10-06T10:37:30Z,1.203374,1.364807,0.997257,0.991804,R01,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-05_T00018_W01,N20261005,2026-10-05,T00018,2026-10-06T09:30:00Z,2026-10-06T12:30:00Z,10800,2026-10-06T12:22:30Z,1.103293,1.427202,0.978499,0.963238,R02,REQUIRED,1350,2026-10-12T12:30:00Z
