event_id,condition,actual_start_utc,actual_end_utc,spatial_scope_type,spatial_scope_payload,severity,force_close,seeing_multiplier,transparency_multiplier,sky_quality_multiplier,instrument_efficiency_multiplier
EV0007,cloudy,2026-10-06T02:00:00Z,2026-10-06T08:45:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":124.445368,""azimuth_start_deg"":31.50503,""max_altitude_deg"":52.91352,""min_altitude_deg"":0.0}",0.564749,false,1.141187,0.745863,0.802338,1.000000
EV0008,cloudy,2026-10-06T03:45:00Z,2026-10-06T08:00:00Z,SKY_CAP_ICRS,"{""dec_deg"":64.944061,""ra_deg"":314.020381,""radius_deg"":39.260134}",0.701957,false,1.175489,0.684120,0.754315,1.000000
EV0010,cloudy,2026-10-06T10:15:00Z,2026-10-06T16:30:00Z,REGION_SET,"{""region_ids"":[""R05"",""R06"",""R07""]}",0.782680,false,1.195670,0.647794,0.726062,1.000000
EV0009,cloudy,2026-10-06T10:30:00Z,2026-10-06T16:00:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":177.632077,""azimuth_start_deg"":89.686876,""max_altitude_deg"":74.310029,""min_altitude_deg"":0.0}",0.627081,false,1.156770,0.717814,0.780522,1.000000
EV0002,rainy,2026-10-06T11:45:00Z,2026-10-06T15:45:00Z,ALL,{},0.823545,true,1.658836,0.382341,0.464696,1.000000
EV0017,smoggy,2026-10-07T05:30:00Z,2026-10-07T16:45:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":41.3312,""azimuth_start_deg"":338.43433,""max_altitude_deg"":72.642161,""min_altitude_deg"":0.0}",0.966364,false,1.144955,0.690763,0.729418,1.000000
EV0003,rainy,2026-10-07T10:00:00Z,2026-10-07T12:00:00Z,ALL,{},0.597835,true,1.478268,0.551624,0.611407,1.000000
EV0029,tornado,2026-10-07T11:00:00Z,2026-10-07T13:15:00Z,ALL,{},0.802986,true,1.802986,0.317462,0.397760,0.839403
EV0011,cloudy,2026-10-08T02:00:00Z,2026-10-08T04:45:00Z,REGION_SET,"{""region_ids"":[""R07""]}",0.956695,false,1.239174,0.569487,0.665157,1.000000
EV0022,rocket_launch,2026-10-08T04:45:00Z,2026-10-08T06:15:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":19.779553,""azimuth_start_deg"":289.389873,""max_altitude_deg"":59.158817,""min_altitude_deg"":0.0}",0.786960,true,1.000000,1.000000,1.000000,1.000000
EV0001,rainy,2026-10-08T08:00:00Z,2026-10-08T16:45:00Z,ALL,{},0.743036,true,1.594429,0.442723,0.517027,1.000000
EV0025,cold_wave,2026-10-08T10:45:00Z,2026-10-09T15:30:00Z,ALL,{},0.704251,false,1.035213,0.971830,0.985915,0.774640
EV0018,smoggy,2026-10-08T12:00:00Z,2026-10-09T07:30:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":43.172777,""azimuth_start_deg"":313.584697,""max_altitude_deg"":50.847426,""min_altitude_deg"":0.0}",0.906945,false,1.136042,0.709777,0.746055,1.000000
EV0026,cold_wave,2026-10-09T02:00:00Z,2026-10-09T16:30:00Z,ALL,{},0.611323,false,1.030566,0.975547,0.987774,0.804377
