target_id,tile_id,target_class,feature_flux,redshift,science_weight
TG00000001,T00001,LRG,0.36783238,0.591948,1.0000
TG00000002,T00001,LRG,0.73274434,0.843636,1.0000
TG00000003,T00001,LRG,0.30571562,0.676862,1.0000
TG00000004,T00001,LRG,0.30358879,0.791493,1.0000
TG00000005,T00001,LRG,0.24194605,0.717825,1.0000
TG00000006,T00001,LRG,0.32083774,0.409933,1.0000
TG00000007,T00001,LRG,0.33372179,0.465411,1.0000
TG00000008,T00001,LRG,0.33994099,0.746696,1.0000
TG00000009,T00001,LRG,0.84110006,0.638209,1.0000
TG00000010,T00001,LRG,0.27484170,0.533723,1.0000
TG00000011,T00001,LRG,0.29637899,1.110847,1.0000
TG00000012,T00001,LRG,0.28425681,0.639851,1.0000
TG00000013,T00001,LRG,0.82273823,0.798226,1.0000
TG00000014,T00001,LRG,0.47464863,0.872404,1.0000
TG00000015,T00001,LRG,0.40645296,0.911626,1.0000
TG00000016,T00001,LRG,0.46809829,0.586310,1.0000
TG00000017,T00001,LRG,0.35893372,0.657455,1.0000
TG00000018,T00001,LRG,0.53226378,0.546804,1.0000
TG00000019,T00001,LRG,0.55308803,0.849979,1.0000
TG00000020,T00001,LRG,0.25906911,1.028080,1.0000
TG00000021,T00001,LRG,0.29183328,0.529824,1.0000
TG00000022,T00001,LRG,0.48461373,0.757999,1.0000
TG00000023,T00001,LRG,0.29345564,0.756543,1.0000
TG00000024,T00001,LRG,0.24551065,0.650704,1.0000
TG00000025,T00001,LRG,0.29413319,0.675898,1.0000
TG00000026,T00001,LRG,0.54940206,0.536110,1.0000
TG00000027,T00001,LRG,0.27816770,0.679074,1.0000
TG00000028,T00001,LRG,0.39772464,0.839046,1.0000
TG00000029,T00001,LRG,0.84298568,0.667998,1.0000
TG00000030,T00001,LRG,0.17444422,0.767412,1.0000
TG00000031,T00001,LRG,0.30660849,0.987803,1.0000
TG00000032,T00001,LRG,0.23681767,0.746917,1.0000
TG00000033,T00001,LRG,0.42722593,0.919443,1.0000
TG00000034,T00001,LRG,0.37551400,0.884141,1.0000
TG00000035,T00001,LRG,0.27252232,0.622769,1.0000
TG00000036,T00001,LRG,0.28063126,0.958633,1.0000
TG00000037,T00001,LRG,0.48022211,0.847973,1.0000
TG00000038,T00001,LRG,0.23534509,0.548156,1.0000
TG00000039,T00001,LRG,0.23998584,0.731812,1.0000
TG00000040,T00001,LRG,0.47306620,0.974505,1.0000
TG00000041,T00001,LRG,0.21264409,1.126915,1.0000
TG00000042,T00001,LRG,0.29279259,0.718830,1.0000
TG00000043,T00001,LRG,0.37618300,1.087986,1.0000
TG00000044,T00001,LRG,0.33682704,0.429782,1.0000
TG00000045,T00001,LRG,0.39399580,0.654611,1.0000
TG00000046,T00001,LRG,0.34135491,0.537555,1.0000
TG00000047,T00001,LRG,0.36346730,0.847750,1.0000
TG00000048,T00001,LRG,0.45721483,0.365927,1.0000
TG00000049,T00001,LRG,0.30875019,0.847128,1.0000
TG00000050,T00001,LRG,0.36673670,0.836104,1.0000
TG00000051,T00001,LRG,0.37193023,0.696638,1.0000
TG00000052,T00001,ELG,0.53373572,1.318572,1.0000
TG00000053,T00001,ELG,0.40969051,0.947936,1.0000
TG00000054,T00001,ELG,0.71280353,0.752906,1.0000
TG00000055,T00001,ELG,0.67749403,1.228694,1.0000
TG00000056,T00001,ELG,0.64747758,1.029989,1.0000
TG00000057,T00001,ELG,0.36528581,1.067930,1.0000
TG00000058,T00001,ELG,0.46744249,1.366552,1.0000
TG00000059,T00001,ELG,0.66809917,1.429525,1.0000
TG00000060,T00001,ELG,0.52027347,1.285488,1.0000
TG00000061,T00001,ELG,0.61760490,1.374754,1.0000
TG00000062,T00001,ELG,0.45738936,0.895323,1.0000
TG00000063,T00001,ELG,0.32064716,0.904590,1.0000
TG00000064,T00001,ELG,0.54897704,1.092627,1.0000
TG00000065,T00001,ELG,0.63848725,1.312565,1.0000
TG00000066,T00001,ELG,0.63121059,0.725214,1.0000
TG00000067,T00001,ELG,0.39127380,1.402557,1.0000
TG00000068,T00001,ELG,0.32294359,1.346316,1.0000
TG00000069,T00001,ELG,0.78218894,1.263027,1.0000
TG00000070,T00001,ELG,0.38980522,0.991735,1.0000
TG00000071,T00001,ELG,0.68400399,1.631621,1.0000
TG00000072,T00001,ELG,0.50113673,1.553743,1.0000
TG00000073,T00001,ELG,0.69292092,1.320157,1.0000
TG00000074,T00001,ELG,0.72075784,1.332948,1.0000
TG00000075,T00001,ELG,0.80110385,0.989741,1.0000
TG00000076,T00001,ELG,0.46597884,0.760517,1.0000
TG00000077,T00001,ELG,0.42171999,0.851141,1.0000
TG00000078,T00001,ELG,0.50283542,0.736521,1.0000
TG00000079,T00001,ELG,0.73267269,1.274795,1.0000
TG00000080,T00001,ELG,1.00071235,1.059633,1.0000
TG00000081,T00001,ELG,0.50097102,1.040454,1.0000
TG00000082,T00001,ELG,0.89074039,1.163951,1.0000
TG00000083,T00001,ELG,0.47831221,1.100720,1.0000
TG00000084,T00001,ELG,0.52851932,0.857904,1.0000
TG00000085,T00001,ELG,0.49776550,1.389501,1.0000
TG00000086,T00001,ELG,0.61652656,0.992012,1.0000
TG00000087,T00001,ELG,0.95627899,0.940523,1.0000
TG00000088,T00001,ELG,0.50387442,1.227220,1.0000
TG00000089,T00001,ELG,0.72864496,0.712914,1.0000
TG00000090,T00001,ELG,0.79574919,0.836953,1.0000
TG00000091,T00001,ELG,0.45868764,0.845716,1.0000
TG00000092,T00001,ELG,0.37593660,0.780646,1.0000
TG00000093,T00001,ELG,1.22570619,0.550671,1.0000
TG00000094,T00001,ELG,0.36704588,0.941925,1.0000
TG00000095,T00001,ELG,0.27208232,1.206184,1.0000
TG00000096,T00001,ELG,0.42771732,1.255759,1.0000
TG00000097,T00001,ELG,0.49879540,1.171093,1.0000
TG00000098,T00001,ELG,0.93172182,0.987740,1.0000
TG00000099,T00001,ELG,0.37335905,1.247281,1.0000
TG00000100,T00001,ELG,0.51645294,1.508928,1.0000
TG00000101,T00001,ELG,0.35245557,1.281598,1.0000
TG00000102,T00001,ELG,0.53620823,1.504464,1.0000
TG00000103,T00001,ELG,0.84657525,1.224473,1.0000
TG00000104,T00001,ELG,0.55355325,0.834822,1.0000
TG00000105,T00001,ELG,0.45183147,1.503600,1.0000
TG00000106,T00001,ELG,0.52305529,1.082739,1.0000
TG00000107,T00001,ELG,0.25325652,1.038963,1.0000
TG00000108,T00001,ELG,0.31341980,1.127538,1.0000
TG00000109,T00001,ELG,0.43997908,1.341775,1.0000
TG00000110,T00001,ELG,0.78977513,0.865061,1.0000
TG00000111,T00001,ELG,0.36487217,0.611728,1.0000
TG00000112,T00001,ELG,0.73297393,0.524975,1.0000
TG00000113,T00001,ELG,0.25094411,1.333170,1.0000
TG00000114,T00001,ELG,0.95473089,1.000857,1.0000
TG00000115,T00001,ELG,0.41806800,1.034076,1.0000
TG00000116,T00001,ELG,0.64645486,1.498927,1.0000
TG00000117,T00001,ELG,0.59439216,1.359316,1.0000
TG00000118,T00001,ELG,0.38685345,0.592333,1.0000
TG00000119,T00001,ELG,0.44490987,1.331559,1.0000
TG00000120,T00001,ELG,0.32368904,1.143965,1.0000
TG00000121,T00001,ELG,0.45637359,1.307169,1.0000
TG00000122,T00001,ELG,0.65602198,1.704429,1.0000
TG00000123,T00001,ELG,1.16649252,1.245933,1.0000
TG00000124,T00001,ELG,0.41529920,1.188237,1.0000
TG00000125,T00001,ELG,0.52797709,1.016913,1.0000
TG00000126,T00001,ELG,0.38330079,1.143734,1.0000
TG00000127,T00001,ELG,0.66293526,0.731427,1.0000
TG00000128,T00001,ELG,0.56451552,0.890560,1.0000
TG00000129,T00001,ELG,0.47567530,1.008371,1.0000
TG00000130,T00001,ELG,0.24787458,1.403748,1.0000
TG00000131,T00001,ELG,0.33240688,1.338858,1.0000
TG00000132,T00001,ELG,0.98990846,0.767611,1.0000
TG00000133,T00001,ELG,0.43877265,1.185429,1.0000
TG00000134,T00001,ELG,0.37977662,1.166691,1.0000
TG00000135,T00001,ELG,0.42195373,0.959743,1.0000
TG00000136,T00001,ELG,1.41901927,0.912195,1.0000
TG00000137,T00001,ELG,0.37153577,1.193267,1.0000
TG00000138,T00001,ELG,0.82931533,1.441011,1.0000
TG00000139,T00001,ELG,0.55441999,0.885954,1.0000
TG00000140,T00001,ELG,0.52532429,0.912325,1.0000
TG00000141,T00001,ELG,0.44418993,0.819729,1.0000
TG00000142,T00001,ELG,0.75323604,1.459231,1.0000
TG00000143,T00001,ELG,0.37188642,1.127815,1.0000
TG00000144,T00001,ELG,0.52181691,1.041516,1.0000
TG00000145,T00001,ELG,0.70131579,0.866787,1.0000
TG00000146,T00001,ELG,0.51636324,1.470124,1.0000
TG00000147,T00001,ELG,0.75940252,1.349383,1.0000
TG00000148,T00001,ELG,0.42804849,1.312114,1.0000
TG00000149,T00001,ELG,1.03472230,0.944107,1.0000
TG00000150,T00001,ELG,0.29947228,1.460805,1.0000
TG00000151,T00001,ELG,0.48416286,1.170723,1.0000
TG00000152,T00001,ELG,0.51975863,1.334556,1.0000
TG00000153,T00001,ELG,0.32700525,0.674581,1.0000
TG00000154,T00001,ELG,0.86298836,1.299805,1.0000
TG00000155,T00001,ELG,1.09440186,0.733757,1.0000
TG00000156,T00001,ELG,0.28734016,0.441184,1.0000
TG00000157,T00001,ELG,0.56914598,0.613942,1.0000
TG00000158,T00001,ELG,0.52929131,0.902621,1.0000
TG00000159,T00001,ELG,0.51610529,0.626274,1.0000
TG00000160,T00001,QSO,0.27547269,1.562472,1.7000
TG00000161,T00001,QSO,0.17887119,2.948979,1.7000
TG00000162,T00001,QSO,0.06608305,3.262008,1.7000
TG00000163,T00001,QSO,0.28234732,3.129722,1.7000
TG00000164,T00001,QSO,0.37338375,2.725262,1.7000
TG00000165,T00001,QSO,0.20539282,2.247412,1.7000
TG00000166,T00001,QSO,0.23913215,1.916913,1.7000
TG00000167,T00001,QSO,0.31766062,1.699264,1.7000
TG00000168,T00001,QSO,0.19468697,2.585815,1.7000
TG00000169,T00001,QSO,0.20824474,1.834984,1.7000
TG00000170,T00001,QSO,0.18467360,2.449405,1.7000
TG00000171,T00001,QSO,0.12239396,1.961472,1.7000
TG00000172,T00001,QSO,0.28671550,1.213464,1.7000
TG00000173,T00001,QSO,0.27857766,2.223232,1.7000
TG00000174,T00001,QSO,0.15328947,2.373243,1.7000
TG00000175,T00001,BGS,1.48267843,0.183187,0.4500
