window_id,night_id,night_date,tile_id,window_start_utc,window_end_utc,window_seconds,best_time_utc,best_airmass,mean_airmass,mean_lunar_quality_factor,minimum_lunar_quality_factor,region_id,scheduling_class,nominal_exptime_seconds,available_until_utc
2026-10-05_T00002_W01,N20261005,2026-10-05,T00002,2026-10-06T02:30:00Z,2026-10-06T12:30:00Z,36000,2026-10-06T07:52:30Z,1.031571,1.269447,0.999188,0.995375,R00,REQUIRED,900,2026-10-12T12:30:00Z
2026-10-05_T00003_W01,N20261005,2026-10-05,T00003,2026-10-06T02:45:00Z,2026-10-06T11:45:00Z,32400,2026-10-06T07:07:30Z,1.021039,1.288592,0.999701,0.997973,R00,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-05_T00004_W01,N20261005,2026-10-05,T00004,2026-10-06T02:45:00Z,2026-10-06T11:00:00Z,29700,2026-10-06T06:52:30Z,1.065613,1.315334,0.999874,0.998881,R00,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-05_T00005_W01,N20261005,2026-10-05,T00005,2026-10-06T03:45:00Z,2026-10-06T12:30:00Z,31500,2026-10-06T08:52:30Z,1.032763,1.229475,0.998735,0.993703,R00,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-05_T00006_W01,N20261005,2026-10-05,T00006,2026-10-06T03:00:00Z,2026-10-06T10:45:00Z,27900,2026-10-06T06:52:30Z,1.114914,1.355659,0.999911,0.999128,R00,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-05_T00007_W01,N20261005,2026-10-05,T00007,2026-10-06T04:30:00Z,2026-10-06T12:30:00Z,28800,2026-10-06T08:52:30Z,1.036048,1.254388,0.999023,0.995561,R00,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-05_T00008_W01,N20261005,2026-10-05,T00008,2026-10-06T04:15:00Z,2026-10-06T12:00:00Z,27900,2026-10-06T08:07:30Z,1.097851,1.328479,0.999508,0.997405,R00,FLEXIBLE,1350,2026-10-12T12:30:00Z
2026-10-05_T00010_W01,N20261005,2026-10-05,T00010,2026-10-06T06:15:00Z,2026-10-06T12:30:00Z,22500,2026-10-06T11:07:30Z,1.000093,1.206854,0.996834,0.988759,R01,REQUIRED,450,2026-10-12T12:30:00Z
2026-10-05_T00011_W01,N20261005,2026-10-05,T00011,2026-10-06T05:30:00Z,2026-10-06T12:30:00Z,25200,2026-10-06T09:52:30Z,1.019746,1.209386,0.99824,0.993,R01,FLEXIBLE,1350,2026-10-12T12:30:00Z
2026-10-05_T00012_W01,N20261005,2026-10-05,T00012,2026-10-06T08:15:00Z,2026-10-06T12:30:00Z,15300,2026-10-06T11:37:30Z,1.186436,1.353646,0.99495,0.98778,R01,FLEXIBLE,900,2026-10-12T12:30:00Z
