tile_id,ra_deg,dec_deg,nominal_exptime_seconds,region_id,scheduling_class,available_from_utc,available_until_utc,n_lrg,n_elg,n_qso,n_bgs
T00001,26.077053,38.171365,600,R00,REQUIRED,2026-10-07T02:00:00Z,2026-10-12T12:30:00Z,51,108,15,69
T00002,20.543099,46.177438,900,R00,REQUIRED,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,69,80,21,82
T00003,11.787836,20.373622,450,R00,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,66,117,16,79
T00004,7.036294,11.733430,1200,R00,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,63,83,19,76
T00005,38.243429,46.398424,1200,R00,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,58,45,17,66
T00006,6.950652,5.695032,1200,R00,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,60,73,19,56
T00007,36.583299,16.782224,1200,R00,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,64,96,15,92
T00008,24.986984,7.562636,1350,R00,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,46,93,22,64
T00009,80.646049,15.453409,600,R01,REQUIRED,2026-10-07T02:00:00Z,2026-10-12T12:30:00Z,42,73,15,84
T00010,69.463098,31.930173,450,R01,REQUIRED,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,85,87,11,82
T00011,52.931439,20.711410,1350,R01,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,77,84,21,66
T00012,78.859092,-0.615731,900,R01,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,58,98,15,80
T00013,57.889908,6.102893,900,R01,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,59,109,12,92
T00014,54.635782,9.091592,600,R01,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,70,101,15,54
T00015,74.049132,25.580395,450,R01,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,62,90,17,90
T00016,75.881681,53.480058,450,R01,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,59,113,18,67
T00017,112.481435,23.039065,1200,R02,REQUIRED,2026-10-07T02:00:00Z,2026-10-12T12:30:00Z,56,104,22,91
T00018,110.376083,-0.161158,1200,R02,REQUIRED,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,66,84,17,75
T00019,114.751658,11.752063,1350,R02,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,45,124,22,77
T00020,100.213344,38.149760,450,R02,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,73,120,11,64
T00021,104.350751,38.879068,600,R02,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,63,112,13,92
T00022,111.615764,23.985549,1200,R02,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,75,107,16,79
T00023,95.030306,12.288348,450,R02,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,65,108,20,71
T00024,126.831795,48.433074,600,R02,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,52,113,18,97
T00025,169.435615,12.307212,450,R03,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,76,85,21,79
T00026,141.115002,16.057780,1200,R03,REQUIRED,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,66,128,18,81
T00027,175.855895,25.477883,450,R03,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,64,134,22,88
T00028,174.808797,61.328973,1350,R03,REQUIRED,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,54,80,22,101
T00029,148.352275,21.514507,900,R03,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,57,67,24,70
T00030,170.983544,58.394739,600,R03,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,61,132,18,67
T00031,174.794249,43.766894,600,R03,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,64,117,12,73
T00032,150.417441,32.880994,1200,R03,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,52,126,18,91
T00033,194.604769,39.640413,1350,R04,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,48,132,24,96
T00034,195.131747,-1.755809,450,R04,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,63,76,15,72
