event_id,condition,actual_start_utc,actual_end_utc,spatial_scope_type,spatial_scope_payload,severity,force_close,seeing_multiplier,transparency_multiplier,sky_quality_multiplier,instrument_efficiency_multiplier
EV0025,cold_wave,2026-10-06T02:00:00Z,2026-10-06T19:45:00Z,ALL,{},0.907370,false,1.045368,0.963705,0.981853,0.709642
EV0002,rainy,2026-10-06T05:15:00Z,2026-10-06T13:45:00Z,ALL,{},0.784154,true,1.627323,0.411884,0.490300,1.000000
EV0007,cloudy,2026-10-06T06:30:00Z,2026-10-06T13:30:00Z,REGION_SET,"{""region_ids"":[""R00"",""R03"",""R05""]}",0.982285,false,1.245571,0.557972,0.656200,1.000000
EV0017,smoggy,2026-10-06T10:45:00Z,2026-10-07T08:45:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":323.993749,""azimuth_start_deg"":273.052314,""max_altitude_deg"":39.636781,""min_altitude_deg"":0.0}",0.629589,false,1.094438,0.798532,0.823715,1.000000
EV0018,smoggy,2026-10-07T07:45:00Z,2026-10-07T20:30:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":281.73672,""azimuth_start_deg"":193.143177,""max_altitude_deg"":50.100425,""min_altitude_deg"":0.0}",0.790108,false,1.118516,0.747165,0.778770,1.000000
EV0001,rainy,2026-10-07T10:30:00Z,2026-10-07T20:15:00Z,ALL,{},0.723217,true,1.578574,0.457587,0.529909,1.000000
EV0008,cloudy,2026-10-07T10:30:00Z,2026-10-07T13:15:00Z,REGION_SET,"{""region_ids"":[""R01"",""R04"",""R05"",""R07""]}",0.983559,false,1.245890,0.557399,0.655754,1.000000
EV0023,rocket_launch,2026-10-07T12:15:00Z,2026-10-07T13:30:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":347.847266,""azimuth_start_deg"":290.9991,""max_altitude_deg"":76.987292,""min_altitude_deg"":0.0}",0.644231,true,1.000000,1.000000,1.000000,1.000000
EV0010,cloudy,2026-10-08T09:45:00Z,2026-10-08T13:00:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":225.591199,""azimuth_start_deg"":146.920639,""max_altitude_deg"":54.084756,""min_altitude_deg"":0.0}",0.810210,false,1.202552,0.635406,0.716427,1.000000
EV0011,cloudy,2026-10-08T09:45:00Z,2026-10-08T17:15:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":17.177465,""azimuth_start_deg"":312.790056,""max_altitude_deg"":59.15245,""min_altitude_deg"":0.0}",0.687667,false,1.171917,0.690550,0.759317,1.000000
