forecast_id,event_id,revision,issued_at_utc,condition,predicted_start_utc,predicted_end_utc,spatial_scope_type,spatial_scope_payload,severity,probability,start_uncertainty_seconds,end_uncertainty_seconds
FC000001,EV0001,1,2026-10-06T02:00:00Z,rainy,2026-10-07T10:30:00Z,2026-10-07T20:30:00Z,ALL,{},0.630022,0.762434,5400,5400
FC000002,EV0002,1,2026-10-06T02:00:00Z,rainy,2026-10-06T05:45:00Z,2026-10-06T13:45:00Z,ALL,{},0.775263,0.952514,1800,1800
FC000003,EV0007,1,2026-10-06T02:00:00Z,cloudy,2026-10-06T06:45:00Z,2026-10-06T14:00:00Z,REGION_SET,"{""region_ids"":[""R00"",""R03"",""R05""]}",1,0.91713,1800,1800
FC000004,EV0008,1,2026-10-06T02:00:00Z,cloudy,2026-10-07T10:15:00Z,2026-10-07T11:30:00Z,REGION_SET,"{""region_ids"":[""R01"",""R04"",""R05"",""R07""]}",0.969678,0.839128,5400,5400
FC000005,EV0009,1,2026-10-06T02:00:00Z,cloudy,2026-10-09T03:00:00Z,2026-10-09T19:00:00Z,SKY_CAP_ICRS,"{""dec_deg"":9.669668,""ra_deg"":228.555144,""radius_deg"":40.405908}",0.735123,0.637053,12600,12600
FC000006,EV0010,1,2026-10-06T02:00:00Z,cloudy,2026-10-08T11:00:00Z,2026-10-08T11:45:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":222.082569,""azimuth_start_deg"":141.558193,""max_altitude_deg"":54.084756,""min_altitude_deg"":0.0}",1,0.733624,9000,9000
FC000007,EV0011,1,2026-10-06T02:00:00Z,cloudy,2026-10-08T10:30:00Z,2026-10-08T14:45:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":14.242294,""azimuth_start_deg"":297.412201,""max_altitude_deg"":59.15245,""min_altitude_deg"":0.0}",0.43086,0.654917,9000,9000
FC000008,EV0012,1,2026-10-06T02:00:00Z,cloudy,2026-10-09T08:45:00Z,2026-10-09T17:45:00Z,SKY_CAP_ICRS,"{""dec_deg"":11.76916,""ra_deg"":153.79626,""radius_deg"":21.572001}",0.931295,0.592872,12600,12600
FC000009,EV0017,1,2026-10-06T02:00:00Z,smoggy,2026-10-06T10:00:00Z,2026-10-07T08:30:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":323.200652,""azimuth_start_deg"":274.449276,""max_altitude_deg"":39.636781,""min_altitude_deg"":0.0}",0.625213,0.911605,1800,1800
FC000010,EV0018,1,2026-10-06T02:00:00Z,smoggy,2026-10-07T06:30:00Z,2026-10-07T21:45:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":285.993092,""azimuth_start_deg"":197.467208,""max_altitude_deg"":50.100425,""min_altitude_deg"":0.0}",0.820182,0.868507,5400,5400
FC000011,EV0020,1,2026-10-06T02:00:00Z,smoggy,2026-10-08T21:45:00Z,2026-10-09T16:00:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":205.949354,""azimuth_start_deg"":158.375127,""max_altitude_deg"":59.414011,""min_altitude_deg"":0.0}",0.839869,0.628909,12600,12600
FC000012,EV0022,1,2026-10-06T02:00:00Z,rocket_launch,2026-10-09T03:15:00Z,2026-10-09T03:30:00Z,SKY_CAP_ICRS,"{""dec_deg"":11.542672,""ra_deg"":1.080899,""radius_deg"":34.64844}",0.500149,0.624152,11700,11700
FC000013,EV0023,1,2026-10-06T02:00:00Z,rocket_launch,2026-10-07T09:45:00Z,2026-10-07T16:45:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":344.727554,""azimuth_start_deg"":291.838692,""max_altitude_deg"":76.987292,""min_altitude_deg"":0.0}",0.716671,0.785936,6300,6300
FC000014,EV0025,1,2026-10-06T02:00:00Z,cold_wave,2026-10-06T01:45:00Z,2026-10-06T20:00:00Z,ALL,{},0.880875,0.99,900,900
FC000015,EV0026,1,2026-10-06T02:00:00Z,cold_wave,2026-10-09T08:30:00Z,2026-10-09T18:45:00Z,ALL,{},0.547278,0.654442,12600,12600
FC000016,FP0006,1,2026-10-06T02:00:00Z,cloudy,2026-10-10T08:15:00Z,2026-10-10T13:15:00Z,SKY_CAP_ICRS,"{""dec_deg"":49.668174,""ra_deg"":154.784642,""radius_deg"":32.324502}",0.6279,0.464006,7200,7200
FC000017,EV0001,2,2026-10-07T02:00:00Z,rainy,2026-10-07T10:00:00Z,2026-10-07T19:45:00Z,ALL,{},0.805039,0.94663,1800,1800
FC000018,EV0003,1,2026-10-07T02:00:00Z,rainy,2026-10-09T23:45:00Z,2026-10-10T11:30:00Z,ALL,{},1,0.556105,12600,12600
FC000019,EV0004,1,2026-10-07T02:00:00Z,rainy,2026-10-10T08:30:00Z,2026-10-10T17:45:00Z,ALL,{},1,0.574728,12600,12600
FC000020,EV0005,1,2026-10-07T02:00:00Z,rainy,2026-10-10T07:30:00Z,2026-10-10T13:00:00Z,ALL,{},0.776192,0.560105,12600,12600
FC000021,EV0008,2,2026-10-07T02:00:00Z,cloudy,2026-10-07T10:00:00Z,2026-10-07T12:45:00Z,REGION_SET,"{""region_ids"":[""R01"",""R04"",""R05"",""R07""]}",0.977241,0.907416,1800,1800
FC000022,EV0009,2,2026-10-07T02:00:00Z,cloudy,2026-10-09T03:15:00Z,2026-10-09T08:15:00Z,SKY_CAP_ICRS,"{""dec_deg"":12.587589,""ra_deg"":219.414693,""radius_deg"":37.918818}",0.737148,0.747927,9000,9000
FC000023,EV0010,2,2026-10-07T02:00:00Z,cloudy,2026-10-08T07:30:00Z,2026-10-08T14:00:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":217.152885,""azimuth_start_deg"":144.777631,""max_altitude_deg"":54.084756,""min_altitude_deg"":0.0}",0.845463,0.848704,5400,5400
FC000024,EV0011,2,2026-10-07T02:00:00Z,cloudy,2026-10-08T08:30:00Z,2026-10-08T16:30:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":22.205282,""azimuth_start_deg"":308.390305,""max_altitude_deg"":59.15245,""min_altitude_deg"":0.0}",0.651403,0.816054,5400,5400
FC000025,EV0012,2,2026-10-07T02:00:00Z,cloudy,2026-10-09T07:30:00Z,2026-10-09T17:45:00Z,SKY_CAP_ICRS,"{""dec_deg"":17.61802,""ra_deg"":170.635237,""radius_deg"":29.546468}",0.780634,0.727105,9000,9000
FC000026,EV0013,1,2026-10-07T02:00:00Z,cloudy,2026-10-10T04:30:00Z,2026-10-10T06:30:00Z,REGION_SET,"{""region_ids"":[""R01"",""R02""]}",0.559911,0.624867,11700,11700
FC000027,EV0017,2,2026-10-07T02:00:00Z,smoggy,2026-10-06T10:45:00Z,2026-10-07T08:30:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":323.909822,""azimuth_start_deg"":272.847929,""max_altitude_deg"":39.636781,""min_altitude_deg"":0.0}",0.634681,0.887169,900,900
FC000028,EV0018,2,2026-10-07T02:00:00Z,smoggy,2026-10-07T08:15:00Z,2026-10-07T20:45:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":279.228149,""azimuth_start_deg"":192.363126,""max_altitude_deg"":50.100425,""min_altitude_deg"":0.0}",0.802398,0.946873,1800,1800
FC000029,EV0019,1,2026-10-07T02:00:00Z,smoggy,2026-10-10T09:30:00Z,2026-10-10T22:30:00Z,REGION_SET,"{""region_ids"":[""R01"",""R05"",""R07""]}",0.660422,0.560904,12600,12600
FC000030,EV0020,2,2026-10-07T02:00:00Z,smoggy,2026-10-09T08:00:00Z,2026-10-09T21:45:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":225.470712,""azimuth_start_deg"":168.120368,""max_altitude_deg"":59.414011,""min_altitude_deg"":0.0}",0.884152,0.728009,9000,9000
FC000031,EV0022,2,2026-10-07T02:00:00Z,rocket_launch,2026-10-09T06:30:00Z,2026-10-09T06:45:00Z,SKY_CAP_ICRS,"{""dec_deg"":14.732731,""ra_deg"":355.521629,""radius_deg"":30.5511}",0.689274,0.792999,8100,8100
FC000032,EV0023,2,2026-10-07T02:00:00Z,rocket_launch,2026-10-07T12:30:00Z,2026-10-07T14:15:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":347.654937,""azimuth_start_deg"":288.944505,""max_altitude_deg"":76.987292,""min_altitude_deg"":0.0}",0.625651,0.85687,2700,2700
FC000033,EV0026,2,2026-10-07T02:00:00Z,cold_wave,2026-10-09T08:30:00Z,2026-10-09T18:30:00Z,ALL,{},0.599688,0.718163,9000,9000
FC000034,EV0027,1,2026-10-07T02:00:00Z,cold_wave,2026-10-10T04:45:00Z,2026-10-11T08:45:00Z,ALL,{},0.475581,0.621373,11700,11700
FC000035,EV0028,1,2026-10-07T02:00:00Z,cold_wave,2026-10-10T05:45:00Z,2026-10-11T08:00:00Z,ALL,{},0.568018,0.638955,11700,11700
